4.6038, 530.1055
2.3762, 119.9639
2.0191, 84.1124
4.5096, 505.0084
2.2842, 110.1569
4.0284, 388.9214
3.1240, 219.0912
3.0354, 205.5962
5.3221, 745.9914
2.0635, 88.4763
3.6547, 311.0373
3.3500, 255.6184
3.9226, 365.7788
3.1581, 224.4059
2.1657, 98.2995
3.4797, 278.7515
3.8615, 352.5927
4.6440, 540.8681
4.9887, 639.8707
4.6920, 553.8697
4.5523, 516.2267
5.0863, 669.9132
1.8725, 72.4555
6.1112, 1040.1329
4.7303, 564.2165
5.4360, 784.6057
5.3153, 743.5697
2.4218, 125.4537
4.5849, 524.7232
3.8416, 348.9233
3.7120, 322.8786
4.6182, 533.6213
5.4116, 776.6196
5.2935, 736.6015
2.5641, 141.8015
6.0265, 1005.7431
4.1626, 419.2411
2.5144, 136.2257
2.7133, 160.1242
5.1546, 691.3167
2.4646, 129.9074
2.1829, 100.0780
1.7498, 61.9148
4.1454, 415.4194
6.0811, 1027.7780
2.8349, 176.9134
3.2100, 232.6412
4.3965, 475.9526
2.0500, 87.1389
4.6010, 529.0836
2.7610, 166.5907
4.8514, 599.0893
2.7328, 162.9923
2.4107, 123.8157
2.8287, 175.7969
3.3114, 249.2224
5.2690, 728.2072
3.3124, 249.3311
5.3062, 740.6145
2.6853, 156.6381
5.4434, 787.3694
5.9266, 965.8807
4.6032, 529.5870
6.0434, 1012.2755
4.4815, 497.8292
3.1034, 215.8667
2.5343, 138.0947
2.9877, 198.0396
1.8568, 71.0507
3.5897, 298.8684
3.6881, 317.8881
4.2972, 451.6709
2.3840, 120.7308
3.5895, 298.7281
5.7019, 879.7940
2.5076, 134.8397
5.3612, 759.1130
2.4166, 124.6903
4.7655, 574.1903
3.2638, 241.3124
4.3991, 476.5279
4.7961, 583.4148
5.0139, 647.5856
2.0893, 90.7724
5.9898, 991.0246
5.3673, 761.0742
5.2671, 727.8157
4.6536, 543.2910
6.0925, 1032.3283
4.0061, 383.7430
2.2579, 107.5526
5.9022, 956.0781
4.7282, 564.2331
5.6605, 864.5554
3.6262, 306.1861
6.0623, 1020.2116
3.7481, 329.8948
5.9406, 971.4121
3.7098, 321.9847
5.7025, 879.9730
4.6865, 552.3908
3.4615, 275.3243
2.2785, 109.8121
5.3862, 767.7568
3.5550, 292.8989
4.7727, 576.5241
